iter	Passed	Remaining
0	146	146704
1	150	75043
2	153	51071
3	156	39087
4	160	32032
5	164	27312
6	168	23904
7	172	21349
8	175	19366
9	179	17786
10	183	16488
11	186	15383
12	190	14461
13	194	13678
14	198	13012
15	202	12440
16	205	11910
17	209	11456
18	214	11056
19	218	10682
20	222	10355
21	225	10016
22	227	9675
23	230	9384
24	232	9068
25	234	8779
26	236	8518
27	238	8264
28	239	8025
29	241	7795
30	242	7575
31	243	7369
32	244	7172
33	246	6994
34	247	6824
35	248	6662
36	250	6510
37	251	6363
38	252	6225
39	253	6090
40	254	5962
41	256	5847
42	257	5732
43	258	5621
44	260	5519
45	261	5427
46	262	5329
47	264	5236
48	265	5147
49	266	5068
50	267	4986
51	269	4907
52	270	4831
53	272	4765
54	273	4696
55	274	4627
56	275	4560
57	277	4502
58	278	4442
59	279	4381
60	280	4323
61	282	4269
62	283	4219
63	285	4169
64	286	4117
65	287	4070
66	289	4027
67	289	3973
68	291	3928
69	292	3883
70	293	3844
71	295	3805
72	296	3763
73	297	3722
74	298	3684
75	300	3650
76	301	3613
77	302	3578
78	304	3544
79	305	3512
80	306	3479
81	307	3447
82	309	3416
83	310	3387
84	311	3353
85	312	3323
86	313	3290
87	314	3261
88	316	3236
89	317	3210
90	318	3184
91	320	3160
92	321	3136
93	322	3112
94	324	3088
95	325	3064
96	326	3041
97	328	3020
98	329	2997
99	331	2982
100	332	2962
101	333	2936
102	334	2914
103	335	2894
104	337	2876
105	338	2857
106	339	2836
107	341	2816
108	342	2798
109	343	2781
110	345	2763
111	346	2746
112	347	2731
113	349	2715
114	350	2698
115	351	2679
116	353	2665
117	354	2649
118	355	2633
119	356	2617
120	358	2602
121	359	2588
122	360	2569
123	361	2553
124	362	2538
125	364	2525
126	365	2511
127	366	2494
128	367	2480
129	368	2466
130	369	2454
131	371	2440
132	372	2427
133	373	2414
134	375	2403
135	376	2390
136	377	2378
137	378	2364
138	379	2353
139	381	2342
140	382	2330
141	383	2319
142	385	2308
143	386	2297
144	387	2285
145	388	2273
146	390	2263
147	393	2265
148	394	2254
149	395	2243
150	397	2234
151	398	2223
152	399	2213
153	400	2202
154	402	2192
155	403	2183
156	404	2173
157	405	2162
158	407	2153
159	408	2145
160	409	2136
161	411	2126
162	412	2117
163	413	2109
164	415	2100
165	416	2091
166	417	2082
167	418	2073
168	420	2065
169	421	2056
170	422	2047
171	423	2039
172	425	2033
173	426	2024
174	427	2015
175	428	2007
176	430	2000
177	431	1993
178	432	1985
179	434	1977
180	434	1967
181	436	1960
182	437	1952
183	438	1944
184	439	1936
185	441	1930
186	442	1923
187	443	1915
188	444	1909
189	446	1902
190	447	1895
191	448	1888
192	450	1882
193	451	1874
194	452	1868
195	453	1861
196	455	1854
197	456	1848
198	457	1842
199	459	1836
200	460	1830
201	461	1823
202	462	1817
203	464	1811
204	465	1805
205	466	1798
206	467	1792
207	469	1787
208	470	1780
209	471	1774
210	472	1768
211	474	1763
212	475	1757
213	476	1751
214	478	1745
215	479	1739
216	480	1734
217	481	1728
218	483	1722
219	484	1716
220	485	1711
221	486	1705
222	487	1700
223	489	1694
224	490	1688
225	491	1684
226	492	1678
227	494	1673
228	495	1667
229	496	1662
230	497	1657
231	498	1651
232	500	1646
233	501	1640
234	502	1636
235	503	1631
236	505	1625
237	506	1620
238	507	1615
239	508	1610
240	509	1605
241	510	1600
242	512	1596
243	513	1591
244	514	1586
245	516	1582
246	517	1577
247	518	1572
248	519	1567
249	520	1562
250	521	1557
251	523	1552
252	524	1548
253	525	1543
254	526	1538
255	527	1534
256	529	1530
257	530	1526
258	531	1521
259	532	1516
260	534	1512
261	535	1508
262	536	1504
263	537	1499
264	538	1494
265	540	1491
266	541	1486
267	542	1482
268	543	1478
269	545	1474
270	546	1470
271	547	1465
272	548	1461
273	550	1457
274	551	1453
275	552	1449
276	553	1444
277	554	1440
278	555	1436
279	557	1432
280	558	1428
281	559	1424
282	560	1420
283	562	1417
284	563	1413
285	564	1409
286	565	1405
287	566	1401
288	568	1397
289	569	1393
290	570	1389
291	571	1385
292	572	1382
293	574	1379
294	575	1375
295	576	1371
296	578	1368
297	579	1365
298	580	1361
299	582	1358
300	583	1354
301	584	1351
302	586	1348
303	587	1344
304	588	1340
305	590	1338
306	591	1334
307	592	1331
308	593	1327
309	595	1324
310	596	1321
311	597	1317
312	598	1314
313	599	1310
314	601	1307
315	602	1303
316	603	1300
317	604	1296
318	605	1293
319	607	1290
320	608	1286
321	609	1283
322	610	1279
323	611	1276
324	613	1273
325	614	1270
326	615	1266
327	616	1263
328	618	1260
329	619	1257
330	620	1254
331	621	1250
332	622	1247
333	624	1244
334	625	1241
335	626	1238
336	627	1235
337	629	1232
338	630	1229
339	631	1226
340	633	1223
341	634	1220
342	635	1217
343	636	1214
344	637	1211
345	639	1208
346	640	1205
347	641	1202
348	643	1199
349	644	1196
350	645	1193
351	646	1190
352	647	1187
353	649	1184
354	650	1181
355	651	1179
356	652	1176
357	654	1173
358	655	1170
359	656	1167
360	657	1164
361	659	1161
362	660	1158
363	661	1155
364	662	1152
365	663	1149
366	665	1146
367	666	1144
368	667	1141
369	668	1138
370	670	1136
371	671	1133
372	672	1130
373	674	1128
374	675	1125
375	676	1122
376	678	1120
377	679	1118
378	680	1115
379	681	1112
380	683	1110
381	684	1107
382	686	1105
383	687	1102
384	688	1100
385	689	1097
386	691	1094
387	692	1092
388	693	1089
389	695	1087
390	696	1084
391	697	1082
392	699	1079
393	700	1077
394	701	1074
395	702	1072
396	703	1069
397	705	1067
398	706	1064
399	707	1061
400	708	1058
401	710	1056
402	711	1053
403	712	1051
404	713	1048
405	715	1046
406	716	1043
407	717	1041
408	718	1038
409	719	1035
410	721	1033
411	722	1031
412	723	1028
413	725	1026
414	726	1024
415	727	1021
416	729	1019
417	730	1017
418	731	1014
419	733	1012
420	734	1009
421	735	1007
422	736	1005
423	738	1002
424	739	1000
425	740	997
426	741	995
427	743	993
428	744	990
429	745	988
430	746	985
431	747	983
432	749	981
433	750	978
434	751	976
435	752	973
436	754	971
437	755	969
438	756	966
439	757	964
440	759	962
441	760	960
442	761	957
443	762	955
444	763	952
445	765	950
446	766	948
447	767	945
448	769	943
449	770	941
450	771	939
451	772	937
452	774	934
453	775	932
454	776	930
455	777	928
456	779	925
457	780	923
458	781	921
459	782	919
460	784	916
461	785	914
462	786	911
463	787	909
464	788	907
465	790	905
466	791	903
467	793	901
468	794	899
469	795	897
470	797	895
471	798	893
472	800	891
473	801	889
474	802	887
475	804	885
476	805	883
477	806	881
478	807	878
479	809	876
480	810	874
481	812	872
482	813	870
483	814	868
484	816	866
485	817	864
486	818	862
487	820	860
488	821	858
489	822	856
490	824	854
491	825	852
492	827	850
493	828	848
494	829	846
495	831	844
496	832	842
497	833	840
498	834	838
499	836	836
500	837	834
501	838	831
502	839	829
503	841	827
504	842	825
505	843	823
506	845	821
507	846	819
508	848	818
509	849	815
510	850	813
511	851	811
512	853	810
513	854	807
514	855	805
515	856	803
516	858	802
517	859	799
518	860	797
519	862	795
520	863	793
521	864	791
522	865	789
523	867	787
524	868	785
525	869	783
526	870	781
527	871	779
528	872	777
529	874	775
530	875	773
531	876	771
532	878	769
533	879	767
534	880	765
535	881	763
536	883	761
537	884	759
538	885	757
539	886	755
540	887	753
541	889	751
542	891	750
543	892	748
544	893	746
545	895	744
546	896	742
547	898	740
548	899	738
549	900	736
550	902	735
551	903	733
552	904	731
553	905	729
554	907	727
555	908	725
556	909	723
557	910	721
558	912	719
559	913	717
560	914	715
561	916	714
562	917	711
563	918	710
564	919	708
565	920	706
566	922	704
567	923	702
568	924	700
569	925	698
570	927	696
571	928	694
572	929	692
573	930	690
574	931	688
575	932	686
576	933	684
577	935	682
578	936	680
579	937	678
580	938	676
581	939	675
582	941	673
583	942	671
584	943	669
585	944	667
586	946	665
587	947	663
588	948	661
589	949	660
590	951	658
591	952	656
592	953	654
593	954	652
594	956	650
595	957	649
596	958	647
597	959	645
598	960	643
599	962	641
600	963	639
601	964	637
602	965	635
603	966	633
604	968	632
605	969	630
606	970	628
607	971	626
608	973	624
609	974	622
610	975	621
611	976	619
612	977	617
613	979	615
614	980	613
615	981	611
616	982	610
617	984	608
618	985	606
619	986	604
620	987	602
621	989	601
622	990	599
623	991	597
624	993	595
625	995	594
626	997	593
627	999	591
628	1000	590
629	1001	588
